"state","city","tourist_place","category","date_recorded","altitude","climate_type","season","climate_change_risk","rainfall_mm"
"Delhi","Delhi","Red Fort","Fort","1/8/2023","317","Cold","Monsoon","Moderate","15"
"Kerala","Kochi","Fort Kochi","Heritage","10/13/2023","129","Humid","Monsoon","Low","395"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","11/7/2023","1902","Hot-Dry","Monsoon","Low","123"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","1/13/2023","2010","Mountain","Monsoon","High","130"
"Tamil Nadu","Chennai","Marina Beach","Beach","7/11/2023","3961","Humid","Winter","Low","68"
"Meghalaya","Shillong","Living Root Bridges","Nature","1/4/2023","2392","Hot-Dry","Winter","Moderate","114"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","3/9/2023","2120","Tropical","Winter","Low","91"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","5/3/2023","3305","Hot-Dry","Summer","Low","302"
"Karnataka","Mysore","Mysore Palace","Palace","8/12/2023","2916","Cold","Summer","Low","93"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","2/13/2023","185","Cold","Winter","Low","226"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","9/1/2023","3263","Tropical","Summer","High","97"
"Maharashtra","Mumbai","Gateway of India","Monument","2/6/2023","3490","Hot-Dry","Monsoon","Moderate","104"
"Karnataka","Mysore","Mysore Palace","Palace","5/26/2023","1410","Cold","Winter","Moderate","238"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","3/19/2023","1400","Humid","Winter","Low","198"
"Delhi","Delhi","Red Fort","Fort","11/24/2023","1220","Mountain","Winter","Moderate","140"
"Kerala","Munnar","Tea Gardens","Nature","1/4/2023","1663","Cold","Summer","Low","299"
"Maharashtra","Mumbai","Gateway of India","Monument","11/15/2023","3486","Humid","Summer","High","291"
"Odisha","Konark","Sun Temple","Temple","8/25/2023","3686","Tropical","Summer","High","179"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","2/28/2023","375","Tropical","Winter","Moderate","91"
"Delhi","Delhi","Red Fort","Fort","1/21/2023","2637","Cold","Monsoon","Low","165"
"Goa","Goa","Baga Beach","Beach","9/8/2023","3986","Cold","Summer","High","155"
"Goa","Goa","Calangute Beach","Beach","6/17/2023","787","Mountain","Summer","Low","242"
"Ladakh","Leh","Pangong Lake","Lake","11/9/2023","3570","Hot-Dry","Monsoon","Low","121"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","2/27/2023","3484","Humid","Winter","High","117"
"Punjab","Amritsar","Golden Temple","Temple","11/15/2023","2829","Mountain","Monsoon","Low","312"
"Maharashtra","Aurangabad","Ajanta Caves","Heritage","10/4/2023","2623","Tropical","Winter","High","207"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","3/28/2023","3793","Mountain","Summer","Moderate","394"
"Odisha","Puri","Jagannath Temple","Temple","10/19/2023","3417","Mountain","Summer","Low","400"
"West Bengal","Kolkata","Howrah Bridge","Bridge","2/16/2023","1642","Cold","Summer","High","175"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","10/6/2023","3714","Tropical","Winter","Moderate","154"
"Karnataka","Hampi","Virupaksha Temple","Temple","5/10/2023","286","Cold","Monsoon","Moderate","371"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","3/30/2023","1039","Hot-Dry","Monsoon","Low","214"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","6/7/2023","1293","Tropical","Winter","Moderate","6"
"Meghalaya","Shillong","Living Root Bridges","Nature","12/9/2023","1580","Hot-Dry","Winter","Low","7"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","3/27/2023","1843","Mountain","Summer","High","41"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","8/1/2023","1882","Humid","Monsoon","Moderate","87"
"Punjab","Amritsar","Golden Temple","Temple","1/24/2023","3888","Humid","Summer","Low","104"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","3/9/2023","2197","Tropical","Summer","Low","174"
"Madhya Pradesh","Khajuraho","Khajuraho Temples","Temple","8/31/2023","1543","Humid","Monsoon","High","290"
"Arunachal Pradesh","Tawang","Tawang Monastery","Temple","2/8/2023","2582","Tropical","Summer","Moderate","79"
"Jammu & Kashmir","Srinagar","Dal Lake","Lake","5/9/2023","3192","Tropical","Winter","Moderate","389"
"Telangana","Hyderabad","Charminar","Monument","7/20/2023","1112","Cold","Winter","Moderate","72"
"Telangana","Hyderabad","Charminar","Monument","8/26/2023","844","Mountain","Winter","Moderate","221"
"Rajasthan","Jaipur","Hawa Mahal","Monument","6/28/2023","3180","Mountain","Summer","Moderate","138"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","9/5/2023","1764","Tropical","Summer","Low","31"
"Meghalaya","Cherrapunji","Nohkalikai Falls","Waterfall","5/8/2023","667","Hot-Dry","Monsoon","Low","256"
"Goa","Goa","Calangute Beach","Beach","12/24/2023","2616","Mountain","Winter","Low","132"
"Tamil Nadu","Chennai","Marina Beach","Beach","11/21/2023","420","Mountain","Summer","High","73"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","8/10/2023","821","Mountain","Winter","Low","129"
"Karnataka","Hampi","Virupaksha Temple","Temple","10/9/2023","1512","Cold","Winter","Moderate","60"
"Kerala","Munnar","Tea Gardens","Nature","2/11/2023","2739","Hot-Dry","Winter","Low","9"
"Karnataka","Mysore","Mysore Palace","Palace","2/14/2023","2035","Hot-Dry","Monsoon","Moderate","272"
"Madhya Pradesh","Bhopal","Sanchi Stupa","Heritage","4/6/2023","2291","Tropical","Winter","Low","320"
"Rajasthan","Jaipur","Hawa Mahal","Monument","7/19/2023","2355","Hot-Dry","Summer","High","339"
"Lakshadweep","Lakshadweep","Agatti Island","Island","11/10/2023","2912","Hot-Dry","Winter","Low","166"
"Tamil Nadu","Chennai","Marina Beach","Beach","12/5/2023","89","Tropical","Summer","High","253"
"Maharashtra","Mumbai","Marine Drive","Coastal","12/2/2023","1072","Hot-Dry","Summer","High","301"
"Rajasthan","Udaipur","City Palace","Palace","7/29/2023","1954","Humid","Monsoon","Low","285"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","5/7/2023","3914","Mountain","Winter","Low","303"
"Gujarat","Ahmedabad","Sabarmati Ashram","Heritage","4/2/2023","3947","Tropical","Summer","Moderate","392"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","3/28/2023","2242","Humid","Monsoon","Moderate","265"
"Tamil Nadu","Chennai","Marina Beach","Beach","2/9/2023","3449","Mountain","Monsoon","Low","136"
"Tamil Nadu","Chennai","Marina Beach","Beach","10/1/2023","2034","Cold","Summer","Low","258"
"Sikkim","Gangtok","Tsomgo Lake","Lake","11/25/2023","3247","Humid","Monsoon","High","114"
"Delhi","Delhi","India Gate","Monument","8/21/2023","2682","Tropical","Summer","Moderate","34"
"Himachal Pradesh","Shimla","Mall Road Shimla","Hill Station","11/22/2023","3467","Hot-Dry","Monsoon","Low","42"
"Telangana","Hyderabad","Golconda Fort","Fort","12/15/2023","3928","Mountain","Summer","Low","25"
"Karnataka","Hampi","Virupaksha Temple","Temple","12/2/2023","3327","Tropical","Winter","Low","136"
"Delhi","Delhi","India Gate","Monument","7/12/2023","300","Hot-Dry","Monsoon","High","262"
"Punjab","Amritsar","Golden Temple","Temple","6/22/2023","2921","Tropical","Monsoon","High","252"
"Sikkim","Gangtok","Tsomgo Lake","Lake","12/17/2023","2227","Tropical","Monsoon","Low","183"
"Odisha","Konark","Sun Temple","Temple","5/14/2023","2712","Mountain","Summer","Low","61"
"Sikkim","Gangtok","Tsomgo Lake","Lake","7/15/2023","1476","Tropical","Summer","Moderate","40"
"Goa","Goa","Calangute Beach","Beach","10/12/2023","1661","Humid","Winter","Low","191"
"Maharashtra","Mumbai","Gateway of India","Monument","2/11/2023","2397","Cold","Winter","High","66"
"Punjab","Amritsar","Golden Temple","Temple","3/15/2023","1753","Hot-Dry","Winter","Moderate","148"
"Uttar Pradesh","Agra","Agra Fort","Monument","2/26/2023","2131","Hot-Dry","Monsoon","High","304"
"Uttarakhand","Haridwar","Har Ki Pauri","Temple","4/18/2023","3477","Mountain","Winter","Moderate","291"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","2/17/2023","1882","Hot-Dry","Summer","Moderate","191"
"West Bengal","Darjeeling","Tiger Hill","Hill Station","4/1/2023","1743","Humid","Summer","Moderate","372"
"Meghalaya","Shillong","Living Root Bridges","Nature","11/21/2023","1238","Hot-Dry","Monsoon","High","105"
"Rajasthan","Jaipur","Hawa Mahal","Monument","7/5/2023","315","Cold","Winter","High","59"
"West Bengal","Kolkata","Victoria Memorial","Monument","3/3/2023","1457","Cold","Winter","Low","154"
"Maharashtra","Aurangabad","Ellora Caves","Heritage","1/27/2023","2911","Hot-Dry","Winter","Moderate","159"
"Uttar Pradesh","Agra","Taj Mahal","Monument","3/12/2023","3010","Cold","Winter","Low","102"
"Punjab","Amritsar","Golden Temple","Temple","9/1/2023","2165","Tropical","Summer","High","143"
"Uttarakhand","Jim Corbett","Corbett National Park","Wildlife","1/12/2023","1849","Mountain","Monsoon","Moderate","52"
"Maharashtra","Pune","Shaniwar Wada","Fort","10/17/2023","3950","Hot-Dry","Monsoon","Low","241"
"Maharashtra","Pune","Shaniwar Wada","Fort","8/11/2023","1269","Humid","Winter","High","184"
"Uttar Pradesh","Agra","Agra Fort","Monument","12/9/2023","206","Humid","Monsoon","High","168"
"Telangana","Hyderabad","Golconda Fort","Fort","7/14/2023","1731","Humid","Winter","Moderate","374"
"Tamil Nadu","Kanyakumari","Vivekananda Rock Memorial","Monument","12/6/2023","3789","Cold","Winter","Moderate","193"
"Tamil Nadu","Ooty","Ooty Lake","Hill Station","2/2/2023","1195","Hot-Dry","Winter","Low","287"
"Meghalaya","Shillong","Living Root Bridges","Nature","2/24/2023","1204","Hot-Dry","Summer","Moderate","28"
"Uttarakhand","Rishikesh","Lakshman Jhula","Bridge","12/30/2023","519","Cold","Winter","Moderate","98"
"Rajasthan","Jaipur","Hawa Mahal","Monument","1/4/2023","3180","Tropical","Summer","Low","330"
"Gujarat","Dwarka","Dwarkadhish Temple","Temple","7/15/2023","3569","Cold","Winter","High","280"
"Lakshadweep","Lakshadweep","Agatti Island","Island","6/16/2023","25","Mountain","Summer","Low","118"
"Punjab","Amritsar","Golden Temple","Temple","1/28/2023","2418","Cold","Summer","Moderate","267"
"Odisha","Konark","Sun Temple","Temple","8/21/2023","71","Mountain","Monsoon","High","205"
"Lakshadweep","Lakshadweep","Agatti Island","Island","3/11/2023","1702","Tropical","Monsoon","High","149"
