disease_name,severity,medications,safety_tips,precautions,risk_level
Scabies,High,Paracetamol; Bronchodilator,Maintain hygiene; Stay hydrated; Monitor symptoms regularly; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,High
Leprosy,High,Antihistamine; Antimalarial; Antibiotics; Antivirals,Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated; Take adequate rest,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,Critical
Altitude Sickness,High,Pain Reliever; Antimalarial; Insulin; Ibuprofen,Take adequate rest; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Low
Bronchial Infection,High,Ibuprofen; Antivirals; Pain Reliever; Antimalarial,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Wear protective mask,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
Ringworm,Moderate,ORS; Antimalarial; Bronchodilator; Steroids,Avoid extreme temperatures; Stay hydrated; Monitor symptoms regularly; Avoid crowded places,Avoid allergens; Use mosquito repellent; Consult doctor before travel,High
Vitamin D Deficiency,Low,Steroids; Paracetamol; ORS,Take adequate rest; Wear protective mask; Avoid crowded places; Monitor symptoms regularly,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Critical
Cancer,Moderate,Ibuprofen; Antibiotics; Pain Reliever,Avoid crowded places; Stay hydrated; Take adequate rest; Carry prescribed medicines,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Low
Vitamin D Deficiency,High,Steroids; ORS; Bronchodilator,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Avoid crowded places,Carry emergency kit; Consult doctor before travel; Avoid heavy physical activity,Moderate
Vitamin B12 Deficiency,High,Ibuprofen; Steroids; ORS,Carry prescribed medicines; Take adequate rest; Avoid crowded places; Avoid extreme temperatures,Use mosquito repellent; Carry emergency kit; Avoid allergens,Critical
Osteoporosis,Low,Ibuprofen; Paracetamol,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,High
Vitamin D Deficiency,Moderate,Antimalarial; Paracetamol; Bronchodilator,Avoid extreme temperatures; Wear protective mask; Stay hydrated; Take adequate rest,Consult doctor before travel; Carry emergency kit; Avoid allergens,Moderate
Asthma,Moderate,Insulin; Antihistamine,Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures; Take adequate rest,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Low
Heart Disease,Low,Pain Reliever; Ibuprofen; Paracetamol; Insulin,Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines; Take adequate rest,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,High
Hepatitis,Moderate,Antimalarial; Antibiotics,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Carry emergency kit; Avoid allergens; Avoid heavy physical activity,High
Tuberculosis,High,Antivirals; Ibuprofen,Stay hydrated; Monitor symptoms regularly; Avoid extreme temperatures; Carry prescribed medicines,Consult doctor before travel; Use mosquito repellent; Follow medication schedule,Moderate
Fungal Infection,High,Ibuprofen; Antibiotics; Antihistamine,Stay hydrated; Take adequate rest; Maintain hygiene; Wear protective mask,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,Low
Arthritis,High,Pain Reliever; Antibiotics; Antivirals; Antimalarial,Stay hydrated; Monitor symptoms regularly; Avoid extreme temperatures; Wear protective mask,Use mosquito repellent; Consult doctor before travel; Follow medication schedule,Critical
Stroke,Low,Bronchodilator; Insulin,Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated; Maintain hygiene,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,High
Obesity,Moderate,Insulin; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Avoid crowded places; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,High
Sleep Apnea,Low,Insulin; Antivirals,Monitor symptoms regularly; Avoid crowded places; Wear protective mask; Stay hydrated,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,High
Flu,Low,ORS; Antibiotics; Insulin,Take adequate rest; Stay hydrated; Carry prescribed medicines; Monitor symptoms regularly,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Moderate
Chickenpox,Low,Bronchodilator; Antihistamine,Stay hydrated; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Consult doctor before travel; Carry emergency kit; Follow medication schedule,High
Skin Infection,Low,Pain Reliever; Ibuprofen,Wear protective mask; Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Moderate
Motion Sickness,Moderate,Antivirals; Ibuprofen,Take adequate rest; Stay hydrated; Avoid crowded places; Carry prescribed medicines,Carry emergency kit; Use mosquito repellent; Avoid allergens,Moderate
Chickenpox,Moderate,Pain Reliever; Antibiotics; Bronchodilator,Monitor symptoms regularly; Take adequate rest; Stay hydrated; Maintain hygiene,Carry emergency kit; Follow medication schedule; Use mosquito repellent,Moderate
Gastritis,High,Antihistamine; Bronchodilator; Pain Reliever,Monitor symptoms regularly; Maintain hygiene; Avoid extreme temperatures; Take adequate rest,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,Moderate
Multiple Sclerosis,High,ORS; Pain Reliever; Steroids,Stay hydrated; Take adequate rest; Maintain hygiene; Avoid crowded places,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Moderate
Chickenpox,Low,Paracetamol; Antihistamine; Ibuprofen; Antimalarial,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Avoid extreme temperatures,Carry emergency kit; Use mosquito repellent; Follow medication schedule,High
Cancer,Moderate,Antihistamine; ORS,Monitor symptoms regularly; Avoid extreme temperatures; Avoid crowded places; Take adequate rest,Consult doctor before travel; Follow medication schedule; Avoid heavy physical activity,Low
Liver Disease,High,Antihistamine; Pain Reliever,Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures; Take adequate rest,Avoid allergens; Carry emergency kit; Consult doctor before travel,Critical
Sinusitis,Moderate,Pain Reliever; Ibuprofen; ORS; Antibiotics,Carry prescribed medicines; Take adequate rest; Stay hydrated; Monitor symptoms regularly,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,Moderate
Cholera,High,ORS; Insulin; Antibiotics,Maintain hygiene; Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Bronchitis,High,Steroids; Pain Reliever; Antivirals; ORS,Stay hydrated; Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly,Consult doctor before travel; Follow medication schedule; Avoid allergens,Critical
Anemia,Low,Antihistamine; Steroids; Pain Reliever,Monitor symptoms regularly; Maintain hygiene; Stay hydrated; Carry prescribed medicines,Follow medication schedule; Consult doctor before travel; Avoid allergens,High
Neck Pain,Moderate,Antimalarial; ORS,Take adequate rest; Stay hydrated; Carry prescribed medicines; Maintain hygiene,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,High
Eye Infection,High,Pain Reliever; Antihistamine; Antimalarial,Take adequate rest; Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Consult doctor before travel,Critical
Migraine,High,Antimalarial; Ibuprofen; Paracetamol; Antihistamine,Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Critical
Cholera,High,Antivirals; Ibuprofen; Antibiotics; Bronchodilator,Carry prescribed medicines; Take adequate rest; Avoid crowded places; Maintain hygiene,Consult doctor before travel; Follow medication schedule; Avoid heavy physical activity,High
Anemia,High,ORS; Antibiotics; Bronchodilator; Pain Reliever,Avoid extreme temperatures; Avoid crowded places; Carry prescribed medicines; Monitor symptoms regularly,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Moderate
Anemia,Moderate,Ibuprofen; Paracetamol; Bronchodilator,Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Low
Gallstones,Moderate,Steroids; Antibiotics; Antivirals,Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures; Maintain hygiene,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,High
Insomnia,Moderate,ORS; Antivirals; Antibiotics,Carry prescribed medicines; Monitor symptoms regularly; Maintain hygiene; Stay hydrated,Avoid allergens; Carry emergency kit; Consult doctor before travel,Moderate
Obesity,Low,Paracetamol; Antihistamine; ORS; Ibuprofen,Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Avoid allergens; Use mosquito repellent,Moderate
Anxiety,Low,Antivirals; Paracetamol; Antimalarial,Take adequate rest; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Critical
Cold,High,ORS; Antivirals,Avoid crowded places; Stay hydrated; Monitor symptoms regularly; Carry prescribed medicines,Carry emergency kit; Follow medication schedule; Consult doctor before travel,Moderate
Measles,Low,ORS; Pain Reliever,Carry prescribed medicines; Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures,Consult doctor before travel; Use mosquito repellent; Carry emergency kit,High
Psoriasis,High,Antivirals; Ibuprofen; Antibiotics; Pain Reliever,Avoid crowded places; Take adequate rest; Carry prescribed medicines; Maintain hygiene,Carry emergency kit; Avoid allergens; Use mosquito repellent,Moderate
Flu,Low,Bronchodilator; Paracetamol; Pain Reliever; Antihistamine,Avoid crowded places; Take adequate rest; Monitor symptoms regularly; Carry prescribed medicines,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,High
Vitamin B12 Deficiency,Low,Insulin; Antimalarial,Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines; Monitor symptoms regularly,Use mosquito repellent; Avoid heavy physical activity; Carry emergency kit,High
Gastritis,Moderate,Bronchodilator; Antivirals; Antihistamine,Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures; Take adequate rest,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,Critical
Tuberculosis,Low,Paracetamol; Insulin; Antihistamine; ORS,Carry prescribed medicines; Take adequate rest; Stay hydrated; Wear protective mask,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
Bronchial Infection,High,Bronchodilator; Antimalarial,Avoid crowded places; Maintain hygiene; Carry prescribed medicines; Stay hydrated,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,High
Ulcer,Moderate,Bronchodilator; Antivirals,Carry prescribed medicines; Maintain hygiene; Avoid crowded places; Take adequate rest,Use mosquito repellent; Consult doctor before travel; Avoid allergens,Critical
Parkinson's Disease,Moderate,ORS; Steroids; Antivirals,Maintain hygiene; Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,High
Heat Stroke,Moderate,Antimalarial; Antibiotics; Antivirals; Paracetamol,Monitor symptoms regularly; Stay hydrated; Carry prescribed medicines; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,High
Back Pain,Moderate,Steroids; Insulin; Antihistamine,Avoid extreme temperatures; Stay hydrated; Monitor symptoms regularly; Maintain hygiene,Consult doctor before travel; Avoid allergens; Follow medication schedule,High
COVID-19,High,Pain Reliever; Paracetamol,Maintain hygiene; Wear protective mask; Take adequate rest; Carry prescribed medicines,Avoid allergens; Use mosquito repellent; Carry emergency kit,Critical
Deep Vein Thrombosis,Moderate,Antimalarial; Ibuprofen; Antibiotics; Paracetamol,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,Moderate
Flu,Low,Paracetamol; Antimalarial; ORS; Steroids,Avoid extreme temperatures; Maintain hygiene; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,Critical
Insomnia,Moderate,Paracetamol; Antihistamine; Antibiotics,Wear protective mask; Avoid crowded places; Take adequate rest; Carry prescribed medicines,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Critical
Pancreatitis,Low,ORS; Bronchodilator,Wear protective mask; Carry prescribed medicines; Stay hydrated; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Low
Neck Pain,Moderate,Ibuprofen; Antibiotics,Maintain hygiene; Take adequate rest; Carry prescribed medicines; Avoid extreme temperatures,Carry emergency kit; Avoid allergens; Use mosquito repellent,High
Motion Sickness,High,Antibiotics; Steroids,Wear protective mask; Maintain hygiene; Stay hydrated; Avoid extreme temperatures,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,Moderate
Pneumonia,Moderate,Paracetamol; Steroids; Antibiotics; Pain Reliever,Wear protective mask; Maintain hygiene; Take adequate rest; Avoid extreme temperatures,Consult doctor before travel; Follow medication schedule; Carry emergency kit,Low
Osteoporosis,High,Ibuprofen; Steroids; Bronchodilator,Avoid crowded places; Carry prescribed medicines; Stay hydrated; Take adequate rest,Consult doctor before travel; Carry emergency kit; Avoid allergens,Low
Migraine,Low,Ibuprofen; Pain Reliever; ORS; Bronchodilator,Take adequate rest; Wear protective mask; Avoid crowded places; Stay hydrated,Carry emergency kit; Follow medication schedule; Avoid allergens,High
Meningitis,Low,Pain Reliever; Antivirals; Ibuprofen,Wear protective mask; Maintain hygiene; Carry prescribed medicines; Take adequate rest,Carry emergency kit; Consult doctor before travel; Avoid allergens,Critical
Osteoporosis,Low,Steroids; Antimalarial,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Take adequate rest,Carry emergency kit; Avoid allergens; Use mosquito repellent,Low
Astigmatism,High,Bronchodilator; Paracetamol; Pain Reliever; Insulin,Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated; Maintain hygiene,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Moderate
Leprosy,High,ORS; Antivirals,Carry prescribed medicines; Take adequate rest; Stay hydrated; Monitor symptoms regularly,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Cholera,Low,Bronchodilator; Steroids,Take adequate rest; Avoid extreme temperatures; Wear protective mask; Monitor symptoms regularly,Carry emergency kit; Follow medication schedule; Avoid allergens,Low
Altitude Sickness,High,Pain Reliever; Paracetamol; ORS,Maintain hygiene; Avoid extreme temperatures; Stay hydrated; Take adequate rest,Avoid heavy physical activity; Carry emergency kit; Follow medication schedule,Critical
Depression,Low,Insulin; Bronchodilator; Antibiotics; Antivirals,Carry prescribed medicines; Take adequate rest; Monitor symptoms regularly; Avoid extreme temperatures,Follow medication schedule; Avoid allergens; Consult doctor before travel,Critical
Psoriasis,Moderate,Antihistamine; Ibuprofen; Pain Reliever,Wear protective mask; Monitor symptoms regularly; Carry prescribed medicines; Stay hydrated,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,Low
Osteoporosis,High,Antihistamine; Pain Reliever; Antimalarial; ORS,Wear protective mask; Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures,Use mosquito repellent; Avoid heavy physical activity; Follow medication schedule,High
Polio,Low,Antivirals; Antimalarial; Bronchodilator,Avoid extreme temperatures; Maintain hygiene; Take adequate rest; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Cholera,Low,Antihistamine; Pain Reliever; Antimalarial,Monitor symptoms regularly; Avoid crowded places; Wear protective mask; Take adequate rest,Follow medication schedule; Avoid allergens; Consult doctor before travel,High
Anemia,Moderate,Steroids; Ibuprofen; Antibiotics,Take adequate rest; Maintain hygiene; Avoid crowded places; Stay hydrated,Use mosquito repellent; Avoid allergens; Carry emergency kit,Low
Chickenpox,Moderate,ORS; Paracetamol; Steroids,Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines; Stay hydrated,Use mosquito repellent; Avoid allergens; Follow medication schedule,Low
Motion Sickness,Moderate,Insulin; Paracetamol; Antivirals; ORS,Take adequate rest; Stay hydrated; Avoid crowded places; Wear protective mask,Follow medication schedule; Carry emergency kit; Avoid heavy physical activity,High
Sinusitis,High,Steroids; Pain Reliever; ORS; Antihistamine,Take adequate rest; Avoid crowded places; Avoid extreme temperatures; Maintain hygiene,Avoid allergens; Avoid heavy physical activity; Carry emergency kit,Low
Gastritis,Low,Insulin; Antimalarial; Bronchodilator; Antivirals,Stay hydrated; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Consult doctor before travel; Use mosquito repellent; Follow medication schedule,Critical
Astigmatism,Moderate,Antimalarial; Steroids; Pain Reliever,Carry prescribed medicines; Wear protective mask; Avoid extreme temperatures; Take adequate rest,Use mosquito repellent; Avoid allergens; Consult doctor before travel,Moderate
Scabies,High,Steroids; Antivirals,Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines; Monitor symptoms regularly,Use mosquito repellent; Consult doctor before travel; Avoid allergens,High
Skin Infection,High,Bronchodilator; Antimalarial; Paracetamol,Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places,Carry emergency kit; Avoid allergens; Consult doctor before travel,High
Dehydration,Moderate,Antihistamine; Antimalarial,Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Critical
Rabies,High,Pain Reliever; Antihistamine,Wear protective mask; Stay hydrated; Monitor symptoms regularly; Take adequate rest,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,Moderate
Sleep Apnea,High,Antimalarial; Antihistamine,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Maintain hygiene,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Low
Rabies,Moderate,Antimalarial; Insulin; Antibiotics,Take adequate rest; Avoid extreme temperatures; Stay hydrated; Avoid crowded places,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Critical
Psoriasis,High,Antimalarial; Antivirals; ORS,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Stay hydrated,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,High
Lyme Disease,High,Bronchodilator; Paracetamol; ORS; Antimalarial,Carry prescribed medicines; Take adequate rest; Wear protective mask; Stay hydrated,Carry emergency kit; Avoid heavy physical activity; Use mosquito repellent,Critical
Thyroid Disorder,Moderate,Bronchodilator; Insulin; Pain Reliever; Antivirals,Stay hydrated; Avoid crowded places; Avoid extreme temperatures; Wear protective mask,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Moderate
Ulcer,Moderate,Ibuprofen; Pain Reliever; Antihistamine; Antivirals,Avoid extreme temperatures; Stay hydrated; Maintain hygiene; Take adequate rest,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,High
Osteoporosis,Moderate,Ibuprofen; Antivirals,Maintain hygiene; Take adequate rest; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Carry emergency kit; Avoid allergens,Low
Migraine,Moderate,Paracetamol; Antibiotics,Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated,Follow medication schedule; Carry emergency kit; Consult doctor before travel,Critical
Lyme Disease,Moderate,Antivirals; Antihistamine,Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines; Wear protective mask,Use mosquito repellent; Follow medication schedule; Consult doctor before travel,Moderate
Varicose Veins,High,Steroids; Pain Reliever,Avoid extreme temperatures; Take adequate rest; Stay hydrated; Monitor symptoms regularly,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,High
Asthma,Low,Paracetamol; Steroids; Antibiotics; Bronchodilator,Avoid extreme temperatures; Avoid crowded places; Wear protective mask; Take adequate rest,Carry emergency kit; Avoid allergens; Use mosquito repellent,Moderate
Astigmatism,Moderate,Insulin; Antivirals,Avoid crowded places; Take adequate rest; Stay hydrated; Avoid extreme temperatures,Use mosquito repellent; Avoid allergens; Consult doctor before travel,Low
Lyme Disease,Moderate,Steroids; Antibiotics,Take adequate rest; Monitor symptoms regularly; Stay hydrated; Avoid extreme temperatures,Follow medication schedule; Avoid heavy physical activity; Use mosquito repellent,Low
Altitude Sickness,Moderate,Antihistamine; Pain Reliever; Paracetamol; Antivirals,Stay hydrated; Monitor symptoms regularly; Maintain hygiene; Take adequate rest,Avoid allergens; Use mosquito repellent; Carry emergency kit,High
Sinusitis,High,Antimalarial; Bronchodilator,Wear protective mask; Stay hydrated; Monitor symptoms regularly; Maintain hygiene,Use mosquito repellent; Avoid allergens; Carry emergency kit,Moderate
Parkinson's Disease,Moderate,Antibiotics; Steroids; Antimalarial; Bronchodilator,Carry prescribed medicines; Stay hydrated; Take adequate rest; Monitor symptoms regularly,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Moderate
Pancreatitis,High,Steroids; Antihistamine; Pain Reliever,Monitor symptoms regularly; Take adequate rest; Carry prescribed medicines; Wear protective mask,Consult doctor before travel; Avoid heavy physical activity; Use mosquito repellent,Critical
Asthma,Low,Pain Reliever; Bronchodilator; ORS; Insulin,Monitor symptoms regularly; Stay hydrated; Carry prescribed medicines; Take adequate rest,Use mosquito repellent; Avoid allergens; Follow medication schedule,Critical
Varicose Veins,Low,Paracetamol; Ibuprofen; Bronchodilator; Antibiotics,Avoid extreme temperatures; Take adequate rest; Stay hydrated; Carry prescribed medicines,Use mosquito repellent; Carry emergency kit; Avoid heavy physical activity,Moderate
Obesity,Low,Pain Reliever; Antihistamine,Avoid extreme temperatures; Avoid crowded places; Stay hydrated; Take adequate rest,Follow medication schedule; Avoid allergens; Carry emergency kit,High
Liver Disease,Low,Pain Reliever; Bronchodilator; Paracetamol,Wear protective mask; Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Critical
Varicose Veins,High,Antimalarial; Antihistamine; Ibuprofen; ORS,Carry prescribed medicines; Avoid extreme temperatures; Maintain hygiene; Monitor symptoms regularly,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Moderate
Multiple Sclerosis,Low,Antihistamine; Paracetamol,Wear protective mask; Carry prescribed medicines; Monitor symptoms regularly; Maintain hygiene,Use mosquito repellent; Carry emergency kit; Follow medication schedule,High
Bronchitis,Moderate,Steroids; Ibuprofen; Antibiotics; ORS,Take adequate rest; Maintain hygiene; Carry prescribed medicines; Avoid extreme temperatures,Avoid heavy physical activity; Use mosquito repellent; Follow medication schedule,Low
Food Poisoning,Moderate,Pain Reliever; Ibuprofen,Wear protective mask; Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly,Carry emergency kit; Use mosquito repellent; Consult doctor before travel,Moderate
Obesity,High,Antimalarial; Steroids; Antibiotics; Pain Reliever,Monitor symptoms regularly; Avoid crowded places; Stay hydrated; Maintain hygiene,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,Critical
Hepatitis,High,ORS; Ibuprofen; Pain Reliever,Stay hydrated; Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly,Carry emergency kit; Follow medication schedule; Use mosquito repellent,High
Asthma,Low,Bronchodilator; Antivirals; Pain Reliever; ORS,Maintain hygiene; Stay hydrated; Wear protective mask; Take adequate rest,Consult doctor before travel; Avoid allergens; Use mosquito repellent,Low
Heat Exhaustion,Moderate,Bronchodilator; Paracetamol; Antimalarial,Avoid extreme temperatures; Take adequate rest; Stay hydrated; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Use mosquito repellent,Moderate
Meningitis,High,Antimalarial; Steroids,Wear protective mask; Take adequate rest; Avoid crowded places; Carry prescribed medicines,Use mosquito repellent; Avoid heavy physical activity; Follow medication schedule,Low
COVID-19,High,Insulin; Antihistamine; Antivirals,Monitor symptoms regularly; Take adequate rest; Wear protective mask; Avoid crowded places,Avoid allergens; Use mosquito repellent; Consult doctor before travel,Low
Food Poisoning,Low,Paracetamol; Pain Reliever; Antimalarial; Antivirals,Avoid crowded places; Wear protective mask; Carry prescribed medicines; Take adequate rest,Avoid allergens; Consult doctor before travel; Follow medication schedule,Critical
Leprosy,Moderate,Pain Reliever; Antibiotics; Bronchodilator,Maintain hygiene; Avoid crowded places; Wear protective mask; Carry prescribed medicines,Follow medication schedule; Avoid heavy physical activity; Avoid allergens,Low
Asthma,Low,Paracetamol; ORS,Stay hydrated; Wear protective mask; Monitor symptoms regularly; Avoid extreme temperatures,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Low
Insomnia,Low,Insulin; Ibuprofen,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Carry emergency kit; Avoid allergens,Moderate
Multiple Sclerosis,High,Antibiotics; Pain Reliever; ORS,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Maintain hygiene,Use mosquito repellent; Carry emergency kit; Follow medication schedule,Critical
Kidney Disease,Low,Pain Reliever; Antihistamine,Maintain hygiene; Monitor symptoms regularly; Stay hydrated; Wear protective mask,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,Critical
Leprosy,Moderate,Antibiotics; Antimalarial,Avoid crowded places; Take adequate rest; Maintain hygiene; Wear protective mask,Avoid heavy physical activity; Consult doctor before travel; Use mosquito repellent,Moderate
Skin Infection,Moderate,Bronchodilator; ORS; Paracetamol,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Avoid allergens; Consult doctor before travel; Avoid heavy physical activity,Critical
Astigmatism,Moderate,Pain Reliever; Steroids,Maintain hygiene; Wear protective mask; Monitor symptoms regularly; Avoid crowded places,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,Moderate
